user_id,item_id,title,playtime_forever,genres,recommend,sentiment_analysis,release_year
76561197970982479,10,Counter-Strike,6.0,['Action'],True,1.0,2000
js41637,10,Counter-Strike,0.0,['Action'],True,1.0,2000
evcentric,1200,Red Orchestra: Ostfront 41-45,923.0,['Action'],True,1.0,2006
doctr,300,Day of Defeat: Source,1131.0,['Action'],True,1.0,2010
maplemage,240,Counter-Strike: Source,5751.0,['Action'],True,1.0,2004
MeaTCompany,240,Counter-Strike: Source,3209.0,['Action'],True,1.0,2004
76561198089393905,4000,Garry's Mod,47269.0,"['Indie', 'Simulation']",True,0.0,2006
76561198156664158,4000,Garry's Mod,269.0,"['Indie', 'Simulation']",True,2.0,2006
76561198156664158,4000,Garry's Mod,269.0,"['Indie', 'Simulation']",True,2.0,2006
76561198077246154,4000,Garry's Mod,4317.0,"['Indie', 'Simulation']",True,1.0,2006
WeiEDKrSat,10,Counter-Strike,328.0,['Action'],True,1.0,2000
thequeenpanda,300,Day of Defeat: Source,57.0,['Action'],True,1.0,2010
death-hunter,300,Day of Defeat: Source,582.0,['Action'],True,1.0,2010
DJKamBer,4000,Garry's Mod,868.0,"['Indie', 'Simulation']",True,1.0,2006
Rainbow-Dashie,4000,Garry's Mod,253.0,"['Indie', 'Simulation']",True,2.0,2006
76561198043472122,240,Counter-Strike: Source,0.0,['Action'],False,0.0,2004
PPanther,240,Counter-Strike: Source,12870.0,['Action'],True,1.0,2004
devvonst,4000,Garry's Mod,5032.0,"['Indie', 'Simulation']",True,2.0,2006
Fr0stedLine,10,Counter-Strike,580.0,['Action'],True,2.0,2000
76561198058373434,220,Half-Life 2,260.0,['Action'],True,1.0,2004
76561198048353577,4000,Garry's Mod,84234.0,"['Indie', 'Simulation']",True,1.0,2006
76561198066046412,4000,Garry's Mod,37.0,"['Indie', 'Simulation']",False,0.0,2006
tru_mu_,4000,Garry's Mod,1730.0,"['Indie', 'Simulation']",True,1.0,2006
76561198070565427,4000,Garry's Mod,4944.0,"['Indie', 'Simulation']",True,1.0,2006
SavageEeEe,4000,Garry's Mod,6702.0,"['Indie', 'Simulation']",True,1.0,2006
KanadeTheNeko,220,Half-Life 2,1406.0,['Action'],True,2.0,2004
Leaf_Light_Moscow,4000,Garry's Mod,4548.0,"['Indie', 'Simulation']",True,2.0,2006
GoAwayZach,220,Half-Life 2,2583.0,['Action'],True,2.0,2004
76561198054540475,220,Half-Life 2,89.0,['Action'],True,1.0,2004
76561198085547365,4000,Garry's Mod,11304.0,"['Indie', 'Simulation']",True,2.0,2006
76561198061252210,220,Half-Life 2,1250.0,['Action'],True,1.0,2004
OfficialShroomsy,240,Counter-Strike: Source,2.0,['Action'],True,1.0,2004
boydeer,220,Half-Life 2,0.0,['Action'],True,1.0,2004
VVillis,240,Counter-Strike: Source,81.0,['Action'],True,1.0,2004
76561198083226897,105600,Terraria,12932.0,"['Action', 'Adventure', 'Indie', 'RPG']",True,1.0,2011
76561198075277292,620,Portal 2,600.0,"['Action', 'Adventure']",True,1.0,2011
76561198170198366,8190,Just Cause 2,115.0,"['Action', 'Adventure']",True,2.0,2010
diego9031,4000,Garry's Mod,21928.0,"['Indie', 'Simulation']",True,1.0,2006
jarrodtrim,10,Counter-Strike,337.0,['Action'],True,2.0,2000
76561198078738103,4000,Garry's Mod,303466.0,"['Indie', 'Simulation']",True,1.0,2006
76561198067936203,4000,Garry's Mod,1828.0,"['Indie', 'Simulation']",True,1.0,2006
76561198079770573,4000,Garry's Mod,1696.0,"['Indie', 'Simulation']",True,1.0,2006
76561198087586464,240,Counter-Strike: Source,13.0,['Action'],True,2.0,2004
