id,title,genres
761140.0,Lost Summoner Kitty,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']"
643980.0,Ironbound,"['Free to Play', 'Indie', 'RPG', 'Strategy']"
670290.0,Real Pool 3D - Poolians,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']"
767400.0,弹炸人2222,"['Action', 'Adventure', 'Casual']"
772540.0,Battle Royale Trainer,"['Action', 'Adventure', 'Simulation']"
774276.0,SNOW - All Access Basic Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
774277.0,SNOW - All Access Pro Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
774278.0,SNOW - All Access Legend Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
768800.0,Race,"['Casual', 'Indie', 'Racing', 'Simulation']"
768570.0,Uncanny Islands,"['Action', 'Indie', 'Simulation', 'Early Access']"
770380.0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
768880.0,Beach Rules,"['Casual', 'Indie']"
765320.0,Planetarium 2 - Zen Odyssey,"['Casual', 'Indie', 'Simulation']"
773650.0,The first thrust of God,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
774271.0,SNOW - Starter Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
773690.0,The first thrust of God - All Aircrafts,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
774279.0,SNOW - Lifetime Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
768060.0,The Warrior Of Treasures,"['Action', 'Adventure', 'Indie']"
775880.0,RC Plane 3 - Canyon Scenario,"['Racing', 'Simulation', 'Sports']"
775881.0,RC Plane 3 - F-53B,"['Racing', 'Simulation', 'Sports']"
653960.0,DinoBlaster,"['Action', 'Indie']"
282010.0,Carmageddon Max Pack,"['Action', 'Indie', 'Racing']"
70.0,Half-Life,['Action']
752360.0,Fallen Mage,"['Action', 'Indie', 'RPG']"
520680.0,Lost Cities,"['Casual', 'Indie', 'Strategy']"
690410.0,Twisted Enhanced Edition,['Action']
766850.0,Vaporwave Simulator,"['Casual', 'Indie', 'Simulation']"
413120.0,Tactics Forever,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']"
773120.0,Christmas Santa Troubles,"['Adventure', 'Casual', 'Indie']"
754360.0,Underdone - Soundtrack,"['Action', 'Adventure', 'RPG']"
716110.0,Bitcoin Clicker,"['Adventure', 'Casual', 'Indie', 'RPG']"
1640.0,Disciples II: Gallean's Return,['Strategy']
1630.0,Disciples II: Rise of the Elves,['Strategy']
2400.0,The Ship: Murder Party,"['Action', 'Indie', 'RPG']"
662570.0,United Tactics,['Strategy']
381620.0,Life of Rome,"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']"
714020.0,Idle Adventure,"['Adventure', 'Free to Play', 'RPG', 'Early Access']"
759920.0,Souland,"['Action', 'Indie', 'Strategy', 'Early Access']"
659780.0,Darkness and a Crowd,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']"
603280.0,TAROTICA VOO DOO,"['Action', 'Adventure', 'Indie', 'RPG']"
753110.0,Chronicles of Vinland,"['Casual', 'Strategy', 'Early Access']"
753100.0,Orbitality,"['Action', 'Indie']"
764280.0,Atomic Adam: Episode 1,"['Action', 'Adventure', 'Casual']"
758550.0,Mirt. Tales of the Cold Land. Chapter 2,"['Adventure', 'Casual', 'Free to Play', 'Indie']"
3800.0,Advent Rising,['Action']
1520.0,DEFCON,"['Indie', 'Strategy']"
2420.0,The Ship: Single Player,"['Action', 'Indie', 'RPG']"
4000.0,Garry's Mod,"['Indie', 'Simulation']"
4230.0,RACE - The WTCC Game,['Racing']
4900.0,Zen of Sudoku,"['Casual', 'Indie']"
2520.0,Gumboy - Crazy Adventures™,"['Casual', 'Indie']"
6200.0,Ghost Master®,['Strategy']
6210.0,Vegas: Make It Big™,['Strategy']
6300.0,Dreamfall: The Longest Journey,"['Adventure', 'RPG']"
2990.0,FlatOut 2™,['Racing']
6220.0,FlatOut,['Racing']
6510.0,Lost Planet™: Extreme Condition,"['Action', 'Adventure']"
3980.0,CivCity: Rome,['Strategy']
1700.0,Arx Fatalis,['RPG']
6310.0,The Longest Journey,"['Action', 'Adventure', 'RPG']"
3990.0,Civilization IV®: Warlords,['Strategy']
7610.0,Railroad Tycoon 3,['Strategy']
7600.0,Sid Meier's Railroads!,['Strategy']
7620.0,Railroad Tycoon II Platinum,['Strategy']
2540.0,RIP - Trilogy™,"['Casual', 'Indie']"
7650.0,X-COM: Terror From the Deep,['Strategy']
8000.0,Tomb Raider: Anniversary,"['Action', 'Adventure']"
6550.0,Devil May Cry® 3 Special Edition,['Action']
8200.0,Sam &amp; Max 101: Culture Shock,"['Action', 'Adventure']"
2290.0,Final DOOM,['Action']
2570.0,Vigil: Blood Bitterness™,"['Indie', 'RPG']"
8210.0,Sam &amp; Max 102: Situation: Comedy,"['Action', 'Adventure']"
2280.0,Ultimate Doom,['Action']
9160.0,Master Levels for Doom II,['Action']
2300.0,DOOM II,['Action']
2270.0,Wolfenstein 3D,['Action']
9010.0,Return to Castle Wolfenstein,['Action']
9040.0,QUAKE Mission Pack 1: Scourge of Armagon,['Action']
9000.0,Spear of Destiny,['Action']
3810.0,BloodRayne,['Action']
9030.0,QUAKE Mission Pack 2: Dissolution of Eternity,['Action']
2310.0,QUAKE,['Action']
3230.0,Genesis Rising,['Strategy']
9310.0,"Warhammer® 40,000: Dawn of War® – Winter Assault",['Strategy']
7670.0,BioShock™,"['Action', 'RPG']"
4570.0,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",['Strategy']
4580.0,"Warhammer® 40,000: Dawn of War® - Dark Crusade",['Strategy']
4760.0,Rome: Total War™ - Collection,['Strategy']
4770.0,Rome: Total War™ - Alexander,['Strategy']
50970.0,Mystery Case Files: Madame Fate®,['Casual']
12170.0,Grand Theft Auto,['Action']
12180.0,Grand Theft Auto 2,['Action']
12130.0,Manhunt,['Action']
12160.0,Midnight Club 2,['Racing']
12150.0,Max Payne 2: The Fall of Max Payne,['Action']
7000.0,Tomb Raider: Legend,"['Action', 'Adventure']"
12140.0,Max Payne,['Action']
17480.0,Command &amp; Conquer: Red Alert 3,['Strategy']
12500.0,PuzzleQuest: Challenge of the Warlords,['Casual']
12310.0,Culpa Innata,"['RPG', 'Casual', 'Adventure']"
12510.0,Prison Tycoon 3™: Lockdown,['Strategy']
12530.0,Hunting Unlimited™ 2008,"['Action', 'Adventure', 'Strategy']"
12520.0,18 Wheels of Steel: American Long Haul,['Racing']
8100.0,Conflict: Denied Ops,['Action']
2780.0,ARMA: Combat Operations,['Action']
9730.0,Tycoon City: New York,['Simulation']
9710.0,Desperados 2: Cooper's Revenge,['Action']
9800.0,Death to Spies,"['Action', 'Adventure']"
9760.0,Act of War: High Treason,['Action']
2700.0,RollerCoaster Tycoon® 3: Platinum,"['Simulation', 'Strategy']"
2710.0,Act of War: Direct Action,['Action']
13200.0,Unreal 2: The Awakening,['Action']
13250.0,Unreal Gold,['Action']
13000.0,Ninja Reflex: Steamworks Edition,"['Casual', 'Indie']"
13560.0,Tom Clancy's Splinter Cell®,['Action']
13520.0,Far Cry®,['Action']
13240.0,Unreal Tournament: Game of the Year Edition,['Action']
13540.0,Tom Clancy's Rainbow Six® Vegas,['Action']
15210.0,Silent Hunter® III,['Simulation']
16180.0,Virtual Villagers - The Secret City,"['Casual', 'Simulation']"
3520.0,Mystery P.I.™ - The Vegas Heist,['Casual']
15970.0,Luxor,['Casual']
15950.0,Reaxxion,['Casual']
15960.0,Little Farm,['Casual']
15900.0,7 Wonders II,['Casual']
15910.0,Luxor Amun Rising,['Casual']
15930.0,Luxor 3,['Casual']
15160.0,Petz® Horsez® 2,['Simulation']
15920.0,Luxor 2,['Casual']
15080.0,Rayman Raving Rabbids™,"['Action', 'Adventure']"
15200.0,Silent Hunter®: Wolves of the Pacific,['Simulation']
15320.0,IL-2 Sturmovik: 1946,['Simulation']
15240.0,Silent Hunter®: Wolves of the Pacific U-Boat Missions,['Simulation']
8310.0,Bone: Out From Boneville,['Adventure']
12600.0,Midnight Outlaw: 6 Hours to SunUp,['Racing']
8320.0,Bone: The Great Cow Race,['Adventure']
12590.0,Sprint Cars Road to Knoxville,['Racing']
12560.0,Ride! Carnival Tycoon,['Simulation']
12540.0,Mahjongg Investigations: Under Suspicion,['Casual']
11050.0,Dracula Origin,['Adventure']
10520.0,Beijing 2008™ - The Official Video Game of the Olympic Games,['Sports']
11040.0,Sherlock Holmes - Nemesis,"['Adventure', 'RPG']"
19500.0,Eternity's Child,"['Adventure', 'Indie']"
11260.0,Pacific Storm Allies,"['Simulation', 'Strategy']"
19200.0,Tank Universal,"['Action', 'Indie']"
12360.0,FlatOut: Ultimate Carnage,['Racing']
15710.0,Oddworld: Abe's Exoddus®,['Adventure']
15700.0,Oddworld: Abe's Oddysee®,['Adventure']
8660.0,GTR Evolution Expansion Pack for RACE 07,['Racing']
7770.0,X-COM: Enforcer,['Strategy']
7660.0,X-COM: Apocalypse,['Strategy']
7760.0,X-COM: UFO Defense,['Strategy']
20510.0,S.T.A.L.K.E.R.: Clear Sky,"['Action', 'RPG']"
17330.0,Crysis Warhead®,['Action']
17300.0,Crysis,['Action']
7730.0,X-COM: Interceptor,['Strategy']
20900.0,The Witcher: Enhanced Edition Director's Cut,"['Action', 'RPG']"
1530.0,Multiwinia,['Indie']
8690.0,STCC - The Game 1 - Expansion Pack for RACE 07,['Racing']
17120.0,Children of the Nile: Alexandria,"['Strategy', 'Simulation']"
16810.0,Sid Meier's Civilization IV: Colonization,['Strategy']
19830.0,Tom Clancy's Rainbow Six® 3 Gold,['Action']
21000.0,LEGO Batman,"['Action', 'Adventure']"
4460.0,City Life 2008,"['Simulation', 'Strategy']"
17140.0,Hinterland,"['RPG', 'Strategy']"
15390.0,Brothers in Arms: Hell's Highway™,['Action']
21300.0,Gravitron 2,"['Indie', 'Casual']"
3050.0,Xpand Rally Xtreme,['Racing']
15380.0,Heroes of Might &amp; Magic V: Hammers of Fate,['Strategy']
19800.0,Brothers in Arms: Earned in Blood™,['Action']
15370.0,Heroes of Might &amp; Magic V: Tribes of the East,['Strategy']
19930.0,The Settlers®: Rise Of An Empire Gold Edition,['Strategy']
15350.0,Brain Spa,['Casual']
19810.0,The Sum of All Fears,['Action']
3540.0,Peggle™ Nights,['Casual']
22000.0,World of Goo,['Indie']
2820.0,X3: Terran Conflict,"['Action', 'Simulation', 'Strategy']"
1230.0,Mare Nostrum,['Action']
18300.0,Spectraball,"['Casual', 'Indie']"
20200.0,Galactic Bowling,"['Indie', 'Casual', 'Sports']"
12200.0,Bully: Scholarship Edition,"['Action', 'Adventure']"
19900.0,Far Cry® 2: Fortune's Edition,['Action']
11240.0,Space Trader: Merchant Marine,"['Action', 'Indie', 'Strategy']"
256522.0,PRR Wagon Pack 01,['Simulation']
275144.0,"Class 421 London South East ""Jaffa Cake""",['Simulation']
256521.0,ATSF Wagon Pack 01,['Simulation']
222569.0,GP20 Union Pacific Add-on Livery,['Simulation']
256535.0,UK Van Wagon Pack,['Simulation']
256611.0,CSX SD70MAC Add-on Livery,['Simulation']
256576.0,CSX ES44AC Add-on Livery,['Simulation']
9480.0,Saints Row 2,['Action']
17470.0,Dead Space,['Action']
12770.0,Rise of the Argonauts,['RPG']
17410.0,Mirror's Edge™,"['Action', 'Adventure']"
18500.0,Defense Grid: The Awakening,"['Indie', 'Strategy']"
16450.0,F.E.A.R. 2: Project Origin,['Action']
15400.0,Harvest: Massive Encounter,"['Strategy', 'Indie']"
18600.0,Mayhem Intergalactic,"['Indie', 'Strategy']"
11340.0,Larva Mortus,"['Action', 'Indie']"
25830.0,Knights of Honor,['Strategy']
23460.0,Ceville,"['Action', 'Adventure', 'Strategy']"
10600.0,Empire: Total War™ - Special Forces Units &amp; Bonus Content,['Strategy']
21010.0,Watchmen: The End is Nigh,['Action']
22180.0,Penumbra Overture,"['Action', 'Adventure', 'Indie']"
13210.0,Unreal Tournament 3 Black,['Action']
12640.0,Drakensang,['RPG']
21600.0,Age of Booty™,"['Casual', 'Strategy']"
27020.0,The Graveyard,"['Indie', 'Simulation']"
24740.0,Burnout Paradise: The Ultimate Box,['Racing']
90047.0,Zombie Master,['Action']
26000.0,The Maw,"['Action', 'Indie']"
26006.0,The Maw: River Redirect,"['Action', 'Indie']"
26005.0,The Maw: Brute Force,"['Action', 'Indie']"
11330.0,Obulis,"['Casual', 'Indie']"
27800.0,Space Giraffe,['Indie']
9850.0,Codename: Panzers - Cold War,"['Simulation', 'Strategy']"
3600.0,Escape Rosecliff Island,['Casual']
29580.0,Guild Wars Nightfall®,"['RPG', 'Massively Multiplayer']"
29540.0,Guild Wars® Game of the Year Edition,"['RPG', 'Massively Multiplayer']"
29560.0,Guild Wars Factions®,"['RPG', 'Massively Multiplayer']"
29570.0,Guild Wars Trilogy,"['Massively Multiplayer', 'RPG']"
23700.0,Puzzle Kingdoms,['Casual']
16060.0,Samantha Swift and the Golden Touch,['Casual']
1930.0,Two Worlds Epic Edition,['RPG']
18470.0,Helldorado,['Strategy']
7510.0,X-Blades,"['Action', 'Adventure', 'RPG']"
22200.0,Zeno Clash,"['Action', 'Indie']"
26007.0,The Maw: Speeder Lane,['Indie']
25900.0,King's Bounty: The Legend,"['RPG', 'Strategy']"
16200.0,Virtual Families,"['Casual', 'Simulation']"
7840.0,Death Track®: Resurrection,['Racing']
8890.0,Freedom Force vs. the Third Reich,"['RPG', 'Strategy']"
8880.0,Freedom Force,"['RPG', 'Strategy']"
34500.0,Light of Altair,"['Indie', 'Simulation', 'Strategy']"
1280.0,Darkest Hour: Europe '44-'45,"['Action', 'Simulation']"
10150.0,Prototype™,"['Action', 'Adventure']"
29160.0,Blueberry Garden,"['Adventure', 'Indie']"
12470.0,Port Royale 2,['Strategy']
22330.0,The Elder Scrolls IV: Oblivion® Game of the Year Edition,['RPG']
